user_id,destination,season,preferred_activity,duration,budget,hotel_price_per_night,flight_cost,total_cost,value_score,user_satisfaction,recommended_vacation
0,Kapadokya,Yaz,Balon,13,41472.14,2572.76,1891.67,35337.49,3.52,5.0,Kapadokya
1,Uludağ,İlkbahar,Doğa,7,26341.41,3770.18,834.99,27226.26,2.9,4.69,Kapadokya
2,Bodrum,Sonbahar,Deniz,8,17327.02,5968.85,2967.2,50717.97,1.02,4.6,Bodrum
3,Uludağ,Kış,Doğa,11,40695.06,4588.52,1348.28,51822.02,2.36,5.0,Uludağ
4,Kapadokya,Sonbahar,Balon,5,15812.21,4499.86,2513.58,25012.89,1.9,5.0,Kapadokya
5,Sarıkamış,İlkbahar,Kayak,7,17856.49,1519.9,3855.5,14494.79,3.7,4.67,Sarıkamış
6,Uludağ,Kış,Doğa,7,25003.11,3383.33,2550.01,26233.34,2.86,5.0,Uludağ
7,Kapadokya,Yaz,Balon,5,19275.83,1795.19,2325.04,11301.01,5.0,5.0,Kapadokya
8,Kapadokya,Kış,Doğa,12,32203.93,1272.02,2684.57,17948.82,5.0,5.0,Kapadokya
9,Kapadokya,Kış,Doğa,6,17646.82,3320.31,1176.99,21098.85,2.51,5.0,Uludağ
10,Kapadokya,Yaz,Doğa,10,34113.35,2918.84,2079.38,31267.75,3.27,5.0,Antalya
11,Bodrum,Yaz,Deniz,14,79503.14,3332.81,4505.71,51164.99,4.66,5.0,Bodrum
12,Antalya,Yaz,Doğa,11,63969.86,2854.16,1576.51,32972.23,5.0,5.0,Antalya
13,Uludağ,İlkbahar,Kayak,10,40264.49,3928.18,925.88,40207.63,3.0,4.7,Uludağ
14,Bodrum,Yaz,Deniz,9,67855.44,4937.14,2024.89,46459.18,4.38,5.0,Bodrum
15,Sarıkamış,İlkbahar,Doğa,10,21307.63,2341.87,2457.32,25875.97,2.47,4.55,Kapadokya
16,Antalya,Yaz,Deniz,9,52986.3,4196.77,3122.97,40893.9,3.89,5.0,Antalya
17,Uludağ,Kış,Kayak,9,39395.15,4430.65,2577.09,42452.9,2.78,5.0,Uludağ
18,Sarıkamış,İlkbahar,Kayak,13,25467.35,2914.28,2997.16,40882.81,1.87,4.49,Sarıkamış
19,Uludağ,Kış,Doğa,4,20936.43,3560.81,1273.14,15516.38,4.05,5.0,Uludağ
20,Kapadokya,Sonbahar,Doğa,13,35030.59,1925.04,2226.37,27251.93,3.86,5.0,Kapadokya
21,Antalya,Yaz,Plaj,13,53450.48,5671.97,4133.58,77869.16,2.06,5.0,Antalya
22,Bodrum,Yaz,Plaj,3,11780.63,4355.6,4999.61,18066.41,1.96,5.0,Bodrum
23,Antalya,Sonbahar,Plaj,3,8950.12,2364.07,2801.5,9893.7,2.71,4.87,Antalya
24,Antalya,Yaz,Plaj,10,22848.65,4723.52,3063.01,50298.19,1.36,5.0,Bodrum
25,Sarıkamış,Sonbahar,Kayak,3,7676.93,1717.34,2723.63,7875.66,2.92,4.59,Sarıkamış
26,Kapadokya,İlkbahar,Balon,10,24623.22,3737.37,2256.24,39629.9,1.86,5.0,Kapadokya
27,Kapadokya,Kış,Doğa,8,21529.8,1407.67,2670.6,13931.94,4.64,5.0,Kapadokya
28,Kapadokya,İlkbahar,Doğa,5,19470.17,3585.92,1343.13,19272.72,3.03,5.0,Kapadokya
29,Uludağ,İlkbahar,Kayak,6,23574.39,2435.92,1974.59,16590.09,4.26,4.83,Uludağ
30,Bodrum,Sonbahar,Plaj,13,45956.33,2453.89,3796.67,35697.3,3.86,4.89,Bodrum
31,Bodrum,İlkbahar,Plaj,14,39569.85,5928.67,2694.92,85696.34,1.39,4.64,Bodrum
32,Uludağ,Kış,Doğa,14,64076.18,5468.57,1457.04,78017.0,2.46,5.0,Uludağ
33,Antalya,İlkbahar,Doğa,5,25655.22,2915.78,3241.87,17820.76,4.32,5.0,Antalya
34,Kapadokya,İlkbahar,Kültür,10,42423.57,3560.27,2809.79,38412.53,3.31,5.0,Kapadokya
35,Antalya,İlkbahar,Plaj,4,9821.17,3420.57,2791.36,16473.63,1.79,4.78,Antalya
36,Antalya,Yaz,Plaj,7,21440.18,3617.43,3785.07,29107.1,2.21,5.0,Antalya
37,Antalya,Yaz,Doğa,5,27689.2,3089.6,3323.71,18771.72,4.43,5.0,Antalya
38,Sarıkamış,İlkbahar,Doğa,10,27544.93,2692.22,2756.59,29678.76,2.78,4.58,Kapadokya
39,Kapadokya,İlkbahar,Kültür,7,17636.26,3052.59,2787.21,24155.33,2.19,5.0,Kapadokya
40,Antalya,Sonbahar,Plaj,14,70445.53,4838.75,3304.19,71046.69,2.97,4.9,Antalya
41,Uludağ,Sonbahar,Kayak,7,32623.72,3070.46,2443.31,23936.54,4.09,4.81,Uludağ
42,Uludağ,Sonbahar,Kayak,6,17717.3,2962.74,2246.93,20023.4,2.65,4.67,Uludağ
43,Uludağ,Sonbahar,Doğa,11,34324.99,4110.53,2381.03,47596.89,2.16,4.62,Kapadokya
44,Bodrum,Sonbahar,Plaj,8,29745.04,3016.65,2097.28,26230.52,3.4,4.84,Bodrum
45,Bodrum,Yaz,Deniz,3,12100.83,6286.34,3630.4,22489.41,1.61,5.0,Antalya
46,Bodrum,İlkbahar,Deniz,5,17115.9,4446.05,1520.3,23750.58,2.16,4.72,Bodrum
47,Antalya,Sonbahar,Plaj,6,25344.16,3956.88,3030.32,26771.63,2.84,4.88,Antalya
48,Kapadokya,İlkbahar,Balon,14,48876.33,2871.04,3047.27,43241.79,3.39,5.0,Kapadokya
49,Bodrum,Yaz,Plaj,8,49142.49,2758.6,1821.09,23889.9,5.0,5.0,Bodrum
50,Uludağ,Sonbahar,Kayak,3,14416.39,2678.86,2440.93,10477.5,4.13,4.81,Uludağ
51,Kapadokya,Kış,Kültür,6,14699.39,2808.88,1276.71,18129.97,2.43,5.0,Kapadokya
52,Sarıkamış,Kış,Doğa,12,33956.79,3500.61,2830.2,44837.56,2.27,4.93,Sarıkamış
53,Kapadokya,Kış,Balon,12,16150.38,3414.09,2671.96,43641.06,1.11,4.91,Kapadokya
54,Antalya,Sonbahar,Plaj,3,7918.17,2047.53,1775.56,7918.15,3.0,4.9,Antalya
55,Antalya,Sonbahar,Plaj,7,28805.65,3308.44,2711.36,25870.41,3.34,4.93,Antalya
56,Sarıkamış,Kış,Kayak,9,20492.5,3053.77,2465.6,29949.55,2.05,4.91,Sarıkamış
57,Antalya,Yaz,Deniz,14,31927.92,2135.32,4117.83,34012.25,2.82,5.0,Antalya
58,Kapadokya,Yaz,Doğa,12,29951.83,2288.99,1346.4,28814.22,3.12,5.0,Antalya
59,Sarıkamış,İlkbahar,Doğa,12,38957.49,2830.02,2152.23,36112.48,3.24,4.62,Kapadokya
60,Sarıkamış,Kış,Doğa,3,12708.33,3283.73,3951.52,13802.7,2.76,4.98,Sarıkamış
61,Bodrum,Yaz,Deniz,13,92445.5,6121.28,3702.52,83279.1,3.33,5.0,Bodrum
62,Antalya,Yaz,Plaj,5,32433.26,4798.03,4013.08,28003.2,3.47,5.0,Antalya
63,Bodrum,İlkbahar,Deniz,14,35215.67,2072.89,1555.0,30575.42,3.46,4.85,Bodrum
64,Uludağ,İlkbahar,Kayak,12,34911.53,4112.19,839.56,50185.82,2.09,4.61,Uludağ
65,Bodrum,İlkbahar,Plaj,9,23872.98,4786.95,2998.15,46080.68,1.55,4.66,Bodrum
66,Sarıkamış,Sonbahar,Doğa,11,33266.14,1923.05,1943.6,23097.17,4.32,4.73,Sarıkamış
67,Antalya,Sonbahar,Doğa,3,15065.09,1946.91,1775.04,7615.78,5.0,5.0,Antalya
68,Sarıkamış,Sonbahar,Kayak,9,27013.94,2631.81,1757.81,25444.14,3.19,4.62,Sarıkamış
