user_id,destination,season,preferred_activity,duration,budget,hotel_price_per_night,flight_cost,total_cost,value_score,user_satisfaction,recommended_vacation
0,Kapadokya,Yaz,Kültür,13,29214.31,1774.33,1368.75,24435.04,3.59,5.0,Kapadokya
1,Uludağ,İlkbahar,Doğa,7,19519.51,2828.57,628.82,20428.79,2.87,4.69,Kapadokya
2,Bodrum,Sonbahar,Kültür,8,8920.17,3976.63,2073.21,33886.29,1.0,4.6,Kapadokya
3,Bodrum,Kış,Plaj,14,15912.44,2574.32,1659.74,37700.27,1.27,4.63,Bodrum
4,Kapadokya,Sonbahar,Doğa,5,10680.61,3210.76,1820.19,17873.99,1.79,5.0,Kapadokya
5,Sarıkamış,İlkbahar,Kayak,7,10515.89,618.57,2884.4,7214.4,4.37,4.74,Sarıkamış
6,Bodrum,Kış,Plaj,12,16601.77,3052.7,1736.29,38368.68,1.3,4.63,Bodrum
7,Kapadokya,Yaz,Doğa,5,13747.86,1165.8,1693.78,7522.8,5.0,5.0,Kapadokya
8,Bodrum,Kış,Kültür,8,23059.8,1554.56,2742.21,15178.72,4.56,4.96,Bodrum
9,Bodrum,Sonbahar,Kültür,12,46813.96,2793.7,2651.56,36175.96,3.88,4.89,Bodrum
10,Kapadokya,Yaz,Doğa,10,24168.41,2045.18,1509.54,21961.3,3.3,5.0,Antalya
11,Bodrum,Yaz,Kültür,14,50341.67,1849.6,3151.43,29045.89,5.0,5.0,Bodrum
12,Antalya,Yaz,Doğa,11,38481.48,1608.33,1052.2,18743.8,5.0,5.0,Antalya
13,Uludağ,İlkbahar,Kayak,10,30387.77,2973.92,703.66,30442.88,2.99,4.7,Uludağ
14,Bodrum,Yaz,Kültür,9,44805.95,3052.86,1405.66,28881.38,4.65,5.0,Bodrum
15,Sarıkamış,İlkbahar,Doğa,10,11395.55,1385.74,1765.85,15623.26,2.19,4.52,Kapadokya
16,Uludağ,Yaz,Kayak,12,21843.56,1788.96,656.61,22124.09,2.96,4.7,Uludağ
17,Bodrum,Kış,Kültür,5,6431.15,2909.23,1497.28,16043.43,1.2,4.62,Bodrum
18,Kapadokya,Kış,Kültür,9,17698.19,1671.71,1004.59,16050.02,3.31,5.0,Kapadokya
19,Sarıkamış,Sonbahar,Kayak,13,22834.66,1832.65,2248.71,26073.22,2.63,4.56,Sarıkamış
20,Antalya,Yaz,Kültür,14,49555.15,1573.59,3012.56,25042.82,5.0,5.0,Antalya
21,Uludağ,Sonbahar,Doğa,9,31203.62,1931.41,754.07,18136.74,5.0,4.9,Uludağ
22,Antalya,İlkbahar,Kültür,11,30786.58,2693.61,811.82,30441.5,3.03,4.9,Kapadokya
23,Uludağ,Yaz,Doğa,7,21117.63,1819.65,941.78,13679.31,4.63,4.86,Uludağ
24,Uludağ,Kış,Doğa,10,38679.76,2647.25,2548.64,29021.17,4.0,5.0,Uludağ
25,Kapadokya,Sonbahar,Doğa,9,20541.69,1614.06,1465.44,15991.94,3.85,5.0,Kapadokya
26,Antalya,İlkbahar,Plaj,4,9278.13,913.25,1273.7,4926.71,5.0,5.0,Antalya
27,Antalya,Yaz,Doğa,4,12447.26,2320.66,2261.89,11544.53,3.23,5.0,Antalya
28,Kapadokya,İlkbahar,Kültür,10,16034.11,2614.03,1627.18,27767.44,1.73,5.0,Kapadokya
29,Kapadokya,Kış,Doğa,8,14818.82,862.52,1952.95,8853.13,5.0,5.0,Kapadokya
30,Kapadokya,İlkbahar,Doğa,5,13525.69,2495.5,942.35,13419.85,3.02,5.0,Kapadokya
31,Uludağ,İlkbahar,Kayak,6,17606.63,1601.04,1567.31,11173.57,4.73,4.87,Uludağ
32,Bodrum,Sonbahar,Plaj,13,27849.61,1340.42,2656.92,20082.39,4.16,4.92,Bodrum
33,Bodrum,İlkbahar,Plaj,14,22580.52,3946.51,1881.61,57132.68,1.19,4.62,Bodrum
34,Antalya,Kış,Plaj,14,30144.54,2741.8,1120.8,39506.0,2.29,4.83,Antalya
35,Antalya,İlkbahar,Doğa,5,15675.32,1689.92,2309.21,10758.8,4.37,5.0,Antalya
36,Kapadokya,İlkbahar,Kültür,10,29918.39,2475.43,2042.34,26796.66,3.35,5.0,Kapadokya
37,Antalya,İlkbahar,Plaj,4,5688.48,2007.21,1976.22,10005.08,1.71,4.77,Antalya
